Black Body Radiation Experiment Wed, Sep 23, 2020 1:09 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.01881
0.00000	0.02445
0.00000	0.02203
0.00000	0.01865
0.00000	0.01848
0.00000	0.02445
0.00000	0.02477
0.00000	0.02251
0.00000	0.02235
0.00000	0.02396
0.00000	0.02364
0.00000	0.01736
0.00000	0.02364
0.00000	0.02348
0.01035	0.02364
0.01035	0.02106
0.02070	0.02155
0.02070	0.02058
0.03104	0.02461
0.03104	0.02380
0.03104	0.02493
0.03104	0.02203
0.03104	0.01897
0.04139	0.02155
0.06209	0.02332
0.08279	0.02541
0.10348	0.02187
0.13453	0.02606
0.16557	0.02138
0.20696	0.02300
0.22766	0.02219
0.25870	0.01993
0.27940	0.01993
0.31045	0.02074
0.33114	0.02702
0.36219	0.02090
0.40358	0.02235
0.43462	0.01848
0.46567	0.02090
0.50706	0.02477
0.54845	0.02364
0.58985	0.02412
0.63124	0.02541
0.67263	0.02606
0.71403	0.02590
0.74507	0.02300
0.77611	0.02187
0.80716	0.02074
0.83820	0.02477
0.86925	0.02283
0.91064	0.02010
0.95203	0.01961
0.98308	0.02573
1.02447	0.02412
1.05552	0.02509
1.08656	0.02396
1.10726	0.02332
1.11761	0.02461
1.13830	0.02493
1.15900	0.02412
1.19004	0.02912
1.23144	0.02316
1.29352	0.02348
1.32457	0.02138
1.35561	0.02702
1.38666	0.02171
1.41770	0.02477
1.44875	0.02428
1.47979	0.02686
1.50049	0.02364
1.53153	0.02235
1.55223	0.02590
1.58327	0.02316
1.61432	0.02251
1.63501	0.02541
1.66606	0.02428
1.68676	0.02187
1.71780	0.02042
1.74885	0.02203
1.77989	0.02300
1.80059	0.02283
1.82128	0.02348
1.85233	0.02477
1.88337	0.02364
1.91442	0.02187
1.95581	0.02412
1.98685	0.02348
2.01790	0.02557
2.04894	0.02042
2.06964	0.02251
2.09034	0.02590
2.14208	0.02477
2.17312	0.02412
2.21451	0.02396
2.24556	0.02380
2.27660	0.02155
2.29730	0.02541
2.32834	0.02525
2.35939	0.02670
2.38009	0.02396
2.41113	0.02348
2.45252	0.02493
2.49392	0.02735
2.54566	0.02074
2.60775	0.02283
2.68018	0.02831
2.74227	0.02412
2.78366	0.02138
2.83541	0.02622
2.87680	0.02847
2.93889	0.02751
2.99063	0.02606
3.03202	0.02622
3.06307	0.02686
3.09411	0.02138
3.12516	0.02493
3.15620	0.02332
3.18724	0.02654
3.20794	0.02138
3.22864	0.02541
3.24933	0.02493
3.28038	0.02735
3.32177	0.02654
3.36316	0.02332
3.39421	0.02783
3.42525	0.02380
3.46665	0.02606
3.49769	0.02380
3.52873	0.02493
3.57013	0.02477
3.60117	0.02541
3.63222	0.02493
3.65291	0.02461
3.68396	0.02654
3.71500	0.02461
3.76674	0.02557
3.79779	0.02718
3.83918	0.02702
3.87023	0.02590
3.89092	0.02364
3.91162	0.02670
3.93231	0.02332
3.95301	0.02122
3.98406	0.02461
4.00475	0.02155
4.02545	0.02751
4.04614	0.02912
4.06684	0.02590
4.08754	0.02493
4.12893	0.02702
4.17032	0.02461
4.21172	0.02541
4.25311	0.02606
4.29450	0.02912
4.34624	0.02364
4.38764	0.02573
4.42903	0.02735
4.47042	0.02525
4.51181	0.02267
4.56355	0.02718
4.61530	0.02847
4.65669	0.02654
4.70843	0.02380
4.77052	0.02606
4.82226	0.02702
4.87400	0.02493
4.91539	0.02622
4.97748	0.02896
5.02922	0.02847
5.08096	0.02702
5.13271	0.02928
5.18445	0.02896
5.22584	0.02686
5.28793	0.02493
5.33967	0.02815
5.39141	0.02718
5.45350	0.02670
5.50524	0.02896
5.54663	0.02493
5.59837	0.02348
5.63977	0.02718
5.69151	0.02831
5.74325	0.02735
5.79499	0.02622
5.83638	0.02751
5.88812	0.02445
5.92952	0.02235
5.98126	0.02735
6.03300	0.02783
6.07439	0.02654
6.12613	0.02445
6.16752	0.02670
6.20892	0.02815
6.23996	0.02606
6.28136	0.02622
6.32275	0.02815
6.36414	0.02863
6.39519	0.02718
6.44693	0.03266
6.48832	0.02799
6.54006	0.02815
6.57110	0.02541
6.60215	0.02267
6.63319	0.02718
6.66424	0.02847
6.69528	0.03057
6.72633	0.02702
6.75737	0.02751
6.78842	0.02380
6.82981	0.02622
6.87120	0.02541
6.90225	0.02799
6.93329	0.02686
6.97468	0.02477
7.00573	0.02686
7.04712	0.02557
