Black Body Radiation Experiment Wed, Sep 23, 2020 11:57 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.03001
0.00000	-0.03951
0.00000	-0.03661
0.00000	-0.03677
0.00000	-0.02533
0.00000	-0.02533
0.00000	-0.02259
0.00000	-0.03725
0.00000	-0.04128
0.00000	-0.05788
0.00000	-0.03178
0.00000	-0.04434
0.00000	-0.03999
0.00000	-0.02050
0.00000	-0.04386
0.00000	-0.04483
0.00000	-0.03001
0.00000	-0.02807
0.00000	-0.02582
0.00000	-0.04112
0.00000	-0.03935
0.00000	-0.02743
0.00000	-0.02743
0.00000	-0.05546
0.00000	-0.02904
0.00000	-0.01937
0.00000	-0.03742
0.00000	-0.02968
0.00000	-0.02791
0.00000	-0.04305
0.00000	-0.03887
0.00000	-0.02469
0.00000	-0.02823
0.00000	-0.04289
0.00000	-0.03097
0.00000	-0.02952
0.00000	-0.02566
0.00000	-0.03983
0.00000	-0.03436
0.00000	-0.01261
0.00000	-0.04386
0.00000	-0.03935
0.00000	-0.03162
0.00000	-0.02549
0.00000	-0.02888
0.00000	-0.03629
0.00000	-0.04724
0.00000	-0.02759
0.00000	-0.03242
0.00000	-0.04499
0.00000	-0.04193
0.00000	-0.03355
0.00000	-0.02566
0.00000	-0.03919
0.00000	-0.04080
0.00000	-0.04966
0.00000	-0.03097
0.00000	-0.03822
0.00000	-0.04467
0.00000	-0.04015
0.00000	-0.02743
0.00000	-0.04338
0.00000	-0.04193
0.00000	-0.04160
0.00000	-0.04257
0.00000	-0.04032
0.00000	-0.03452
0.00000	-0.04644
0.00000	-0.04998
0.00000	-0.02662
0.00000	-0.03001
0.00000	-0.04418
0.00000	-0.03774
0.00000	-0.03081
0.00000	-0.04305
0.00000	-0.04628
0.00000	-0.02340
0.00000	-0.02533
0.00000	-0.03999
0.00000	-0.02388
0.00000	-0.01889
0.00000	-0.03387
0.00000	-0.03291
0.00000	-0.03097
0.00000	-0.01567
0.00000	-0.03194
0.00000	-0.04370
0.00000	-0.03129
0.00000	-0.02872
0.00000	-0.03854
0.00000	-0.03999
0.00000	-0.02147
0.00000	-0.01728
0.00000	-0.03951
0.00000	-0.03613
0.00000	-0.02131
0.00000	-0.02533
0.00000	-0.03194
0.00000	-0.02276
0.00000	-0.02839
0.00000	-0.03935
0.00000	-0.03935
0.00000	-0.03887
0.00000	-0.04418
