Interference and Diffraction Data File Wed, Mar 30, 2022 4:01 PM
Sensor Position (Meters)	Light Intensity (Volts)
-0.01600	0.05135
-0.01600	0.04893
-0.01600	0.04926
-0.01600	0.05103
-0.01600	0.05054
-0.01600	0.05151
-0.01600	0.05054
-0.01600	0.05183
-0.01600	0.05151
-0.01600	0.05280
-0.01606	0.05135
-0.01606	0.05554
-0.01606	0.05666
-0.01606	0.05441
-0.01606	0.05795
-0.01606	0.06117
-0.01606	0.05892
-0.01606	0.06294
-0.01606	0.06311
-0.01606	0.05876
-0.01606	0.05988
-0.01611	0.06617
-0.01611	0.06472
-0.01611	0.06633
-0.01611	0.06456
-0.01611	0.06504
-0.01611	0.06681
-0.01611	0.06987
-0.01611	0.05940
-0.01611	0.06874
-0.01611	0.07116
-0.01617	0.06762
-0.01617	0.06955
-0.01617	0.06971
-0.01617	0.07245
-0.01617	0.07132
-0.01617	0.06971
-0.01617	0.07067
-0.01617	0.06842
-0.01617	0.07100
-0.01617	0.07164
-0.01622	0.07196
-0.01622	0.07067
-0.01622	0.06633
-0.01622	0.06391
-0.01622	0.06407
-0.01622	0.06681
-0.01622	0.06745
-0.01622	0.06214
-0.01622	0.06182
-0.01622	0.06262
-0.01622	0.06375
-0.01628	0.05924
-0.01628	0.06166
-0.01628	0.06150
-0.01628	0.06005
-0.01628	0.05988
-0.01628	0.05650
-0.01628	0.05554
-0.01628	0.05393
-0.01628	0.05071
-0.01628	0.05135
-0.01633	0.05312
-0.01633	0.04942
-0.01633	0.04942
-0.01633	0.05022
-0.01633	0.04507
-0.01633	0.04394
-0.01633	0.04716
-0.01633	0.04410
-0.01633	0.04507
-0.01633	0.04297
-0.01639	0.04104
-0.01639	0.04169
-0.01639	0.03911
-0.01639	0.04136
-0.01639	0.03653
-0.01639	0.04008
-0.01639	0.03927
-0.01639	0.03782
-0.01639	0.03814
-0.01639	0.03653
-0.01639	0.03686
-0.01644	0.03750
-0.01644	0.03605
-0.01644	0.03653
-0.01644	0.03605
-0.01644	0.03847
-0.01644	0.03943
-0.01644	0.03766
-0.01644	0.03605
-0.01644	0.04185
-0.01644	0.03975
-0.01650	0.03895
-0.01650	0.03975
-0.01650	0.03927
-0.01650	0.04265
-0.01650	0.04507
-0.01650	0.04410
-0.01650	0.04603
-0.01650	0.04781
-0.01650	0.05022
-0.01650	0.05103
-0.01656	0.04587
-0.01656	0.05038
-0.01656	0.05360
-0.01656	0.05393
-0.01656	0.05602
-0.01656	0.05521
-0.01656	0.05844
-0.01656	0.05940
-0.01656	0.06150
-0.01656	0.06600
-0.01661	0.06633
-0.01661	0.06810
-0.01661	0.07277
-0.01661	0.06778
-0.01661	0.07728
-0.01661	0.07325
-0.01661	0.07293
-0.01661	0.07857
-0.01661	0.08050
-0.01661	0.08098
-0.01661	0.08275
-0.01667	0.08147
-0.01667	0.08452
-0.01667	0.08807
-0.01667	0.08710
-0.01667	0.09064
-0.01667	0.09097
-0.01667	0.09097
-0.01667	0.09451
-0.01667	0.09274
-0.01667	0.10047
-0.01672	0.10127
-0.01672	0.10321
-0.01672	0.10208
-0.01672	0.10627
-0.01672	0.10675
-0.01672	0.10707
-0.01672	0.10643
-0.01672	0.11013
-0.01672	0.11110
-0.01672	0.11593
-0.01678	0.11706
-0.01678	0.11915
-0.01678	0.12092
-0.01678	0.12157
-0.01678	0.12060
-0.01678	0.12720
-0.01678	0.12704
-0.01678	0.13091
-0.01678	0.13139
-0.01678	0.13445
-0.01683	0.13783
-0.01683	0.14041
-0.01683	0.13864
-0.01683	0.14315
-0.01683	0.14508
-0.01683	0.14766
-0.01683	0.14798
-0.01683	0.15088
-0.01683	0.14830
-0.01683	0.15490
-0.01689	0.15378
-0.01689	0.15539
-0.01689	0.16038
-0.01689	0.16457
-0.01689	0.16344
-0.01689	0.15957
-0.01689	0.16956
-0.01689	0.17487
-0.01689	0.17471
-0.01689	0.18131
-0.01694	0.18357
-0.01694	0.18292
-0.01694	0.18937
-0.01694	0.19033
-0.01694	0.19661
-0.01694	0.20128
-0.01694	0.20434
-0.01694	0.20821
