Interference and Diffraction Data File Wed, Mar 30, 2022 4:01 PM
Sensor Position (Meters)	Light Intensity (Volts)
0.00000	-0.00727
0.00000	-0.01130
0.00000	-0.00985
0.00000	-0.01178
0.00000	-0.00985
0.00000	-0.00824
0.00000	-0.00904
0.00000	-0.00856
0.00000	-0.00727
0.00000	-0.01017
0.00000	-0.00679
0.00000	-0.00824
0.00000	-0.00711
0.00000	-0.01226
0.00000	-0.00582
0.00000	-0.00663
0.00000	-0.01033
0.00000	-0.01259
0.00000	-0.00743
0.00000	-0.01081
0.00000	-0.00920
0.00000	-0.01307
0.00000	-0.00920
0.00000	-0.00872
0.00000	-0.00953
0.00000	-0.00663
0.00000	-0.00969
0.00000	-0.01001
0.00000	-0.01017
0.00000	-0.01387
0.00000	-0.00824
0.00000	-0.00808
0.00000	-0.01146
0.00000	-0.00808
0.00000	-0.00582
0.00000	-0.01371
0.00000	-0.00679
0.00000	-0.00856
0.00000	-0.00727
0.00000	-0.00792
0.00000	-0.00888
0.00000	-0.01243
0.00000	-0.00969
0.00000	-0.00904
0.00000	-0.01194
0.00000	-0.00969
0.00000	-0.00727
0.00000	-0.01130
0.00000	-0.00985
0.00000	-0.01130
0.00000	-0.00856
0.00000	-0.00969
0.00000	-0.01371
0.00000	-0.01049
0.00000	-0.01065
0.00000	-0.00808
0.00000	-0.00711
0.00000	-0.01065
0.00000	-0.01291
0.00000	-0.00775
0.00000	-0.00920
0.00000	-0.01017
0.00000	-0.01339
0.00000	-0.00759
0.00000	-0.01033
0.00000	-0.01178
0.00000	-0.00824
0.00000	-0.00534
0.00000	-0.00647
0.00000	-0.00937
0.00000	-0.01114
0.00000	-0.01130
0.00000	-0.00904
0.00000	-0.01243
0.00000	-0.01049
0.00000	-0.01291
0.00000	-0.01065
0.00000	-0.00920
0.00000	-0.00711
0.00000	-0.00937
0.00000	-0.00888
0.00000	-0.01500
0.00000	-0.01001
0.00000	-0.01130
0.00000	-0.00969
0.00000	-0.01178
0.00000	-0.00872
0.00000	-0.00663
0.00000	-0.01017
0.00000	-0.01033
0.00000	-0.00550
0.00000	-0.00840
0.00000	-0.00679
0.00000	-0.00824
0.00000	-0.01404
0.00000	-0.00920
0.00000	-0.01130
0.00000	-0.00969
0.00000	-0.01178
0.00000	-0.00985
0.00000	-0.01081
0.00000	-0.01114
0.00000	-0.00824
0.00000	-0.00679
0.00000	-0.00679
0.00000	-0.00904
0.00000	-0.01178
0.00000	-0.01275
0.00000	-0.00920
0.00000	-0.01146
0.00000	-0.01162
0.00000	-0.01033
0.00000	-0.00840
0.00000	-0.01307
0.00000	-0.01226
0.00000	-0.00856
0.00000	-0.01001
0.00000	-0.00325
0.00000	-0.00856
0.00000	-0.00792
0.00000	-0.01065
0.00000	-0.00614
0.00000	-0.01001
0.00000	-0.00953
0.00000	-0.00759
0.00000	-0.01146
0.00000	-0.01114
0.00000	-0.00792
0.00000	-0.01178
0.00000	-0.00759
-0.00006	-0.01081
-0.00006	-0.01387
-0.00006	-0.00743
-0.00006	-0.00582
-0.00006	-0.01210
-0.00006	-0.01162
-0.00006	-0.00808
-0.00006	-0.00904
-0.00006	-0.00502
-0.00006	-0.00872
-0.00006	-0.01065
